,COUNTY,DATE,WATER,TOWN,SPECIES,QTY,SIZE (inch)
188,Cumberland,2024-04-17,CHANDLER B,Pownal,BROOK TROUT,400,10
189,Cumberland,2024-04-17,CHANDLER B (EAST BRANCH),Pownal,BROOK TROUT,500,10
190,Cumberland,2024-04-17,MILL B,Westbrook,BROOK TROUT,150,10
191,Cumberland,2024-04-17,PISCATAQUA R,Cumberland,BROOK TROUT,150,10
192,Cumberland,2024-04-17,PISCATAQUA R,Falmouth,BROOK TROUT,150,10
193,Cumberland,2024-04-17,SONGO R,Casco,BROOK TROUT,300,10
194,Cumberland,2024-04-18,STEVENS B,Bridgton,BROOK TROUT,400,9
195,Cumberland,2024-04-21,LITTLE R (NORTH BRANCH),Gorham,BROOK TROUT,100,10
196,Cumberland,2024-04-22,LITTLE R,Gorham,BROOK TROUT,550,10
197,Cumberland,2024-04-22,PLEASANT R,Windham,BROOK TROUT,500,10
198,Cumberland,2024-04-22,PRESUMPSCOT R,Windham,BROOK TROUT,600,10
199,Cumberland,2024-04-22,ROYAL R,New Gloucester,BROOK TROUT,200,10
200,Cumberland,2024-04-22,ROYAL R,Yarmouth,BROOK TROUT,200,10
201,Cumberland,2024-04-23,OTTER P #2,Standish,BROOK TROUT,200,10
202,Cumberland,2024-04-23,OTTER P #4,Standish,BROOK TROUT,100,10
203,Cumberland,2024-04-24,ISLAND P,Harrison,BROOK TROUT,300,9
204,Cumberland,2024-04-24,JORDAN R,Raymond,BROOK TROUT,300,9
205,Cumberland,2024-04-25,MUDDY R,Naples,BROOK TROUT,150,9
206,Cumberland,2024-04-25,NORTHWEST R,Sebago,BROOK TROUT,100,9
207,Cumberland,2024-04-25,SACO R,Standish,BROOK TROUT,200,10
208,Cumberland,2024-04-25,TRICKEY P,Naples,BROOK TROUT,800,9
209,Cumberland,2024-04-30,COLLYER B,Gray,BROOK TROUT,900,10
210,Cumberland,2024-04-30,ROYAL R,New Gloucester,BROOK TROUT,300,10
211,Cumberland,2024-04-30,ROYAL R,Yarmouth,BROOK TROUT,200,10
212,Cumberland,2024-05-01,CHANDLER B,North Yarmouth,BROWN TROUT,150,9
213,Cumberland,2024-05-01,CHANDLER B,Pownal,BROWN TROUT,300,9
214,Cumberland,2024-05-01,PLEASANT R,Windham,BROWN TROUT,1450,9
215,Cumberland,2024-05-02,HIGHLAND L,Bridgton,BROWN TROUT,600,9
216,Cumberland,2024-05-02,PRESUMPSCOT R,Windham,BROOK TROUT,400,10
217,Cumberland,2024-05-02,SACO R,Baldwin,BROWN TROUT,300,9
218,Cumberland,2024-05-02,SACO R,Standish,BROWN TROUT,300,9
219,Cumberland,2024-05-02,STEVENS B,Bridgton,BROWN TROUT,150,9
220,Cumberland,2024-05-02,STEVENS B,Bridgton,BROWN TROUT,900,9
221,Cumberland,2024-05-02,STEVENS B,New Gloucester,BROOK TROUT,200,10
222,Cumberland,2024-05-02,WILLETT B,Bridgton,BROWN TROUT,400,9
223,Cumberland,2024-05-02,WOOD P,Bridgton,BROWN TROUT,650,9
224,Cumberland,2024-05-05,COLLYER B,Gray,BROWN TROUT,800,9
225,Cumberland,2024-05-06,MILL B,Westbrook,BROOK TROUT,150,10
226,Cumberland,2024-05-06,PLEASANT R,Windham,BROOK TROUT,500,10
227,Cumberland,2024-05-06,SONGO R,Casco,BROOK TROUT,300,10
228,Cumberland,2024-05-07,ALDEN'S P,Gorham,BROOK TROUT,100,10
229,Cumberland,2024-05-07,LITTLE R,Gorham,BROOK TROUT,550,10
230,Cumberland,2024-05-07,LITTLE R (NORTH BRANCH),Gorham,BROOK TROUT,100,10
231,Cumberland,2024-05-09,SACO R,Standish,BROOK TROUT,200,10
232,Cumberland,2024-05-13,LITTLE R,Gorham,BROWN TROUT,200,9
233,Cumberland,2024-05-13,PRESUMPSCOT R,Windham,BROWN TROUT,900,9
234,Cumberland,2024-05-13,STEVENS B,Bridgton,BROOK TROUT,400,9
235,Cumberland,2024-05-14,LITTLE R,Gorham,BROWN TROUT,800,9
236,Cumberland,2024-05-14,LITTLE R (NORTH BRANCH),Gorham,BROWN TROUT,300,9
237,Cumberland,2024-05-14,MILL B,Westbrook,BROWN TROUT,250,9
238,Cumberland,2024-05-14,NONESUCH R,Scarborough,BROWN TROUT,450,9
239,Cumberland,2024-05-14,PISCATAQUA R,Cumberland,BROWN TROUT,250,9
240,Cumberland,2024-05-14,PISCATAQUA R,Falmouth,BROWN TROUT,900,9
241,Cumberland,2024-05-14,PRESUMPSCOT R,Westbrook,BROWN TROUT,400,9
242,Cumberland,2024-05-14,PRESUMPSCOT R,Windham,BROWN TROUT,400,9
243,Cumberland,2024-05-14,PRESUMPSCOT R,Windham,BROOK TROUT,400,10
244,Cumberland,2024-05-14,STEVENS B,New Gloucester,BROOK TROUT,200,10
245,Cumberland,2024-05-15,MUDDY R,Naples,BROOK TROUT,300,10
246,Cumberland,2024-05-15,NORTHWEST R,Sebago,BROOK TROUT,100,10
247,Cumberland,2024-05-15,ROYAL R,New Gloucester,BROWN TROUT,350,9
248,Cumberland,2024-05-15,ROYAL R,North Yarmouth,BROWN TROUT,300,9
249,Cumberland,2024-05-15,ROYAL R,Yarmouth,BROWN TROUT,775,9
250,Cumberland,2024-05-16,COFFIN P,Brunswick,BROOK TROUT,200,10
251,Cumberland,2024-05-16,COLD RAIN P,Naples,BROOK TROUT,300,10
252,Cumberland,2024-05-19,ALDEN'S P,Gorham,BROOK TROUT,100,10
253,Cumberland,2024-05-20,JORDAN R,Raymond,BROOK TROUT,300,10
254,Cumberland,2024-05-22,NUBBLE P,Raymond,BROOK TROUT,100,10
255,Cumberland,2024-05-24,PINELAND P,New Gloucester,BROOK TROUT,150,10
256,Cumberland,2024-05-24,PRESUMPSCOT R,Windham,BROOK TROUT,300,10
257,Cumberland,2024-05-29,BARKER P,Sebago,BROWN TROUT,150,9
258,Cumberland,2024-05-30,CRYSTAL (ANONYMOUS) P,Harrison,L.L. SALMON,75,8
259,Cumberland,2024-05-30,PEABODY P,Sebago,L.L. SALMON,350,8
260,Cumberland,2024-05-30,TRICKEY P,Naples,L.L. SALMON,100,8
261,Cumberland,2024-05-31,PRESUMPSCOT R,Windham,BROWN TROUT,550,9
262,Cumberland,2024-06-04,MOOSE P,Bridgton,L.L. SALMON,650,8
263,Cumberland,2024-06-04,MUDDY R,Naples,BROOK TROUT,300,10
264,Cumberland,2024-06-04,SEBAGO L,Raymond,L.L. SALMON,2000,8
265,Cumberland,2024-06-06,COFFIN P,Brunswick,BROOK TROUT,200,10
266,Cumberland,2024-06-06,PRESUMPSCOT R,Windham,BROOK TROUT,300,10
267,Cumberland,2024-09-27,PRESUMPSCOT R,Windham,L.L. SALMON,200,10
268,Cumberland,2024-10-03,CRYSTAL L (DRY P),Gray,RAINBOW TROUT,250,14
269,Cumberland,2024-10-04,SABBATHDAY L,New Gloucester,BROWN TROUT,350,12
270,Cumberland,2024-10-07,CRYSTAL L (DRY P),Gray,BROOK TROUT,285,12
271,Cumberland,2024-10-08,CRYSTAL (ANONYMOUS) P,Harrison,BROOK TROUT,250,12
272,Cumberland,2024-10-08,THOMAS P,Casco,BROOK TROUT,300,12
273,Cumberland,2024-10-08,TRICKEY P,Naples,BROOK TROUT,50,12
274,Cumberland,2024-10-09,SEBAGO L (LITTLE),Windham,RAINBOW TROUT,700,14
275,Cumberland,2024-10-10,COLD RAIN P,Naples,BROOK TROUT,500,8
276,Cumberland,2024-10-10,COLD RAIN P,Naples,BROOK TROUT,100,12
277,Cumberland,2024-10-10,PRESUMPSCOT R,Windham,BROOK TROUT,400,12
278,Cumberland,2024-10-10,SAND P,Baldwin,BROOK TROUT,200,12
279,Cumberland,2024-10-10,SEBAGO L (LITTLE),Windham,BROWN TROUT,1000,12
280,Cumberland,2024-10-11,NUBBLE P,Raymond,BROOK TROUT,25,12
281,Cumberland,2024-10-11,PARKER P,Casco,BROOK TROUT,200,12
282,Cumberland,2024-10-11,SABBATHDAY L,New Gloucester,BROOK TROUT,400,12
283,Cumberland,2024-10-15,OTTER P #2,Standish,BROOK TROUT,600,8
284,Cumberland,2024-10-15,OTTER P #2,Standish,BROOK TROUT,125,12
285,Cumberland,2024-10-15,OTTER P #4,Standish,BROOK TROUT,300,8
286,Cumberland,2024-10-15,OTTER P #4,Standish,BROOK TROUT,75,12
287,Cumberland,2024-10-16,CHAFFIN P,Windham,BROOK TROUT,500,8
288,Cumberland,2024-10-16,CHAFFIN P,Windham,BROOK TROUT,100,12
289,Cumberland,2024-10-16,PETTINGILL P,Windham,BROOK TROUT,300,12
290,Cumberland,2024-10-16,PETTINGILL P,Windham,BROWN TROUT,80,12
291,Cumberland,2024-10-16,PRESUMPSCOT R,Windham,BROWN TROUT,100,12
292,Cumberland,2024-10-17,HINKLEY P (LOWER),South Portland,BROOK TROUT,200,8
293,Cumberland,2024-10-17,HINKLEY P (LOWER),South Portland,BROOK TROUT,50,12
294,Cumberland,2024-10-17,HINKLEY P (UPPER),South Portland,BROOK TROUT,200,8
295,Cumberland,2024-10-17,HINKLEY P (UPPER),South Portland,BROOK TROUT,50,12
296,Cumberland,2024-10-17,ROYAL R,Yarmouth,BROOK TROUT,100,12
297,Cumberland,2024-10-21,CRYSTAL L (DRY P),Gray,BROWN TROUT,250,12
298,Cumberland,2024-10-22,LONG L,Harrison,BROWN TROUT,1500,12
299,Cumberland,2024-10-24,PRESUMPSCOT R,Windham,L.L. SALMON,200,12
300,Cumberland,2024-10-25,CRESCENT L,Raymond,L.L. SALMON,200,12
301,Cumberland,2024-10-25,LONG L,Bridgton,L.L. SALMON,500,12
302,Cumberland,2024-10-25,LONG L,Harrison,L.L. SALMON,500,12
303,Cumberland,2024-10-25,LONG L,Naples,L.L. SALMON,500,12
304,Cumberland,2024-10-25,PANTHER P,Raymond,L.L. SALMON,450,12
305,Cumberland,2024-10-25,PRESUMPSCOT R,Windham,BROOK TROUT,300,12
306,Cumberland,2024-10-31,OTTER P #2,Standish,BROOK TROUT,15,17
307,Cumberland,2024-10-31,OTTER P #4,Standish,BROOK TROUT,10,17
308,Cumberland,2024-11-01,HIGHLAND L,Bridgton,BROWN TROUT,150,12
309,Cumberland,2024-11-01,PRESUMPSCOT R,Windham,BROOK TROUT,150,12
310,Cumberland,2024-11-01,WOOD P,Bridgton,BROWN TROUT,325,12
311,Cumberland,2024-11-08,BARKER P,Sebago,BROWN TROUT,75,12
312,Cumberland,2024-11-15,CHAFFIN P,Windham,BROOK TROUT,15,19
313,Cumberland,2024-11-15,CRYSTAL L (DRY P),Gray,BROOK TROUT,15,19
314,Cumberland,2024-11-15,SABBATHDAY L,New Gloucester,BROOK TROUT,15,19
315,Cumberland,2024-11-15,SAND P,Baldwin,BROOK TROUT,15,19
