Date,Water,City,Species,Qty,Size (inch)
6/6/2024,PRESUMPSCOT R,WINDHAM,BROOK TROUT,300,10
9/27/2024,PRESUMPSCOT R,WINDHAM,L.L. SALMON,200,10
10/10/2024,PRESUMPSCOT R,WINDHAM,BROOK TROUT,400,12
10/16/2024,PRESUMPSCOT R,WINDHAM,BROWN TROUT,100,12
10/24/2024,PRESUMPSCOT R,WINDHAM,L.L. SALMON,200,12
10/25/2024,PRESUMPSCOT R,WINDHAM,BROOK TROUT,300,12
11/1/2024,PRESUMPSCOT R,WINDHAM,BROOK TROUT,150,12
11/20/2024,PRESUMPSCOT R,WINDHAM,BROOK TROUT,15,19
11/20/2024,PRESUMPSCOT R,WINDHAM,BROOK TROUT,100,12
12/3/2024,PRESUMPSCOT R,WINDHAM,BROWN TROUT,75,18
12/3/2024,PRESUMPSCOT R,WINDHAM,L.L. SALMON,100,18
12/18/2024,PRESUMPSCOT R,WINDHAM,BROOK TROUT,100,12
4/22/2024,ROYAL R,NEW GLOUCESTER,BROOK TROUT,200,10
4/22/2024,ROYAL R,YARMOUTH,BROOK TROUT,200,10
4/30/2024,ROYAL R,NEW GLOUCESTER,BROOK TROUT,300,10
4/30/2024,ROYAL R,YARMOUTH,BROOK TROUT,200,10
5/15/2024,ROYAL R,NORTH YARMOUTH,BROWN TROUT,300,9
5/15/2024,ROYAL R,YARMOUTH,BROWN TROUT,775,9
5/15/2024,ROYAL R,NEW GLOUCESTER,BROWN TROUT,350,9
10/17/2024,ROYAL R,YARMOUTH,BROOK TROUT,100,12
12/3/2024,ROYAL R,YARMOUTH,BROWN TROUT,50,18
4/10/2024,SABBATHDAY L,NEW GLOUCESTER,BROOK TROUT,500,10
10/4/2024,SABBATHDAY L,NEW GLOUCESTER,BROWN TROUT,350,12
10/11/2024,SABBATHDAY L,NEW GLOUCESTER,BROOK TROUT,400,12
11/15/2024,SABBATHDAY L,NEW GLOUCESTER,BROOK TROUT,15,19
4/25/2024,SACO R,STANDISH,BROOK TROUT,200,10
5/2/2024,SACO R,STANDISH,BROWN TROUT,300,9
5/2/2024,SACO R,BALDWIN,BROWN TROUT,300,9
5/9/2024,SACO R,STANDISH,BROOK TROUT,200,10
10/10/2024,SAND P,BALDWIN,BROOK TROUT,200,12
11/15/2024,SAND P,BALDWIN,BROOK TROUT,15,19
6/4/2024,SEBAGO L,RAYMOND,L.L. SALMON,2000,8
10/9/2024,SEBAGO L (LITTLE),WINDHAM,RAINBOW TROUT,700,14
10/10/2024,SEBAGO L (LITTLE),WINDHAM,BROWN TROUT,1000,12
11/27/2024,SEBAGO L (LITTLE),WINDHAM,RAINBOW TROUT,50,20
4/17/2024,SONGO R,CASCO,BROOK TROUT,300,10
5/6/2024,SONGO R,CASCO,BROOK TROUT,300,10
4/15/2024,STEVENS B,NEW GLOUCESTER,BROOK TROUT,100,10
4/18/2024,STEVENS B,BRIDGTON,BROOK TROUT,400,9
5/2/2024,STEVENS B,NEW GLOUCESTER,BROOK TROUT,200,10
5/2/2024,STEVENS B,BRIDGTON,BROWN TROUT,900,9
5/2/2024,STEVENS B,BRIDGTON,BROWN TROUT,150,9
5/13/2024,STEVENS B,BRIDGTON,BROOK TROUT,400,9
5/14/2024,STEVENS B,NEW GLOUCESTER,BROOK TROUT,200,10
